Supplier_ID,Supplier_Name,Ingredients_Count,Availability_Confirmed,Business_Model,Technical_Support,Innovation_Focus,Certifications,Contact_Info,Strategic_Priority,Supply_Chain_Risk,Cost_Tier
MEG0001,Meganede CC,16,Confirmed,Distributor,Yes,Natural Actives,"Meganede CC distributes products from suppliers like Silab, which has various certifications (e.g., EcoVadis Platinum status mentioned on Silab's news page). Specific certifications for Meganede CC itself are not explicitly stated on their website.","Email: info@meganede.com, Phone: +27 66 448 2860, +27 73 513 5984, Location: Bedfordview, Johannesburg",High,Low,Premium
NAT0001,Natchem CC,60,Unknown,Distributor,Yes,Botanicals,BEE (Black Economic Empowerment) certified.,"Telephone: 010 010 6174, WhatsApp: +27 82 331 4508, Email for orders: online@natchem.co.za",High,Medium,Mid-Range
CRO0001,Croda Chemicals S.A (Pty) Ltd,630,Confirmed,Direct Manufacturer,Yes,Biotechnology,"ISO 9001, ISO 14001, EFfCI GMP, USDA Biopreferred Program, Vegan-suitable, Halal, COSMOS, RSPO Mass Balance.","Contact Us form, Live Chat, Technical Library",High,Medium,Premium
CAR0002,Carst&Walker div of Zenith Ho,8,Confirmed,Distributor,Yes,Synthetic/Natural,Multiple,+27 11 489 3600,High,Low,Mid-Range
BOT0003,Botanichem,162,Confirmed,Full Service Agency,Yes,Plant-Derived,"Not explicitly stated, but focus on plant-derived, organic and safe products implies certain standards. BASF Care Creations products may have their own certifications.","Email: info@botanichem.co.za, Tel: 011 425 2206",High,Low,Premium
CJP0001,CJP Chemicals (Pty) Ltd,428,Confirmed,Unknown,Yes,Unknown,"BBBEE Level 4, RSPO (Roundtable on Sustainable Palm Oil) member since 2019","Telephone: +27 11 494 6700, Fax: +27 11 494 6701, Email: info@cjpchemicals.co.za, Physical Address: 60 Electron Avenue, Isando, 1600, Johannesburg, South Africa, Postal Address: P. O. Box 1353, Cresta 2118, Johannesburg, South Africa","High (due to market leadership, broad product range, and commitment to sustainability)","Low (due to extensive distribution network, focus on supply chain partnerships, and RSPO membership for sustainable sourcing)",Unknown
CTE0001,Chemgrit Cosmetics (C-Tec),30,Confirmed,Unknown,Yes,Unknown,"EcoVadis Gold status (Brenntag), Top 10 Suppliers for Beauty & Personal Care by SpecialChem (Brenntag)",Contact via Brenntag South Africa website: https://www.brenntag.com/en-za/industries/beauty-and-personal-care/ (Contact form available on page),High,Low (due to Brenntag's global leadership and robust supply chain management),Unknown
SAV0001,Savannah Fine Chem (Pty) Ltd,25,Confirmed,Unknown,Yes,Unknown,"ISO 9001:2015, FSSC 22000 v6, FSSC 24000 v1","Johannesburg: Tel: +27 11 856 4500, Email: info@savannah.co.za, Office: 19 Boeing Road West, Morninghill, Bedfordview, 2007, Warehouse: 19 Steele Street, Steeledale, JHB; Cape Town: Tel: +27 21 830 5306, Email: info@savannah.co.za, Office: Spaces Century City, No 1 Bridgeway Road, Bridgeways Precinct, Century City, Cape Town, 7441, Warehouse: 5-7 Ipswitch Street, Hagley, Kuilsriver, Cape Town; Durban: Tel: +27 31 313 3338, Email: info@savannah.co.za, Office: Connect Space Musgrave, 2nd Floor 102 Stephen Dlamini Road, Durban 4001, Warehouse: 57 Joyner Road, Joggie Vermooten Park, Prospecton, Durban, Warehouse Tel: +27 31 940 3010",High,Low,Unknown
CHE0004,Chempure (Pty) Ltd,136,Confirmed,Unknown,Yes,Unknown,"Not explicitly stated on the website, but they mention ""rigorously tested for consistent, highest quality"" and represent ""multi-national, world-class principal suppliers.""","Tel: 012 349-1543/4/5/6, queries@chempure.co.za",High,"Low (Implied by representing 'multi-national, world-class principal suppliers' and providing 'excellent service in the supply chain')",Unknown
MER0001,Merck (Pty) Ltd,5,Unknown,Direct Manufacturer,Yes,Pharmaceuticals,"Halal, vegan, ISO 16128 (100% NOC), COSMOS, NATRUE (associated with RonaCare products under Susonity)","Address: 1, Friesland Drive, Longmeadow Business Estate, Modderfontein, 1645, South Africa; Phone: +27 11 372 5000, 0860063725; Email: merck4sme@merckgroup.com",Low,Medium,Premium
