Id,Label,timeset,modularity_class,Availability_Status,Research_Notes,Contact_Required,Strategic_Priority,Website_URL,Product_Count,Pricing_Available,New_Products,Discontinued_Products,Technical_Support,Certifications,Supply_Chain_Risk,Contact_Info,Last_Updated
06A0001,06 Agencies,,1,Available,"06 Agencies (o6southafrica.com) is a South African chemical agency specializing in fragrances and flavors. While they don't explicitly list individual chemical ingredients, their 'Personal Care' section under 'Fragrance' indicates offerings for 'Hair Care', 'Wash Off / Leave on Skin', 'Baby Care', 'Men’s Grooming', and 'Deodorants'. This suggests they supply fragrance compounds suitable for these skincare and personal care applications. The website emphasizes customer service, rapid turnaround times, and a focus on emotional connection through scent. Pricing information is not publicly available, requiring direct inquiry. No specific quality certifications were found on the website. Their primary focus appears to be on finished fragrance formulations rather than raw chemical ingredients.",No,Medium,https://o6southafrica.com/,5.0,,None explicitly mentioned.,None explicitly mentioned.,Implied strong technical support through their team's expertise in perfuming and brand alignment.,Not specified on the website.,Low,"Adam: 083 297 4133 | adam@o6southafrica.com; McQueen: 060 434 4016 | mcqueen@o6southafrica.com; Richard: 082 821 2540 | richard@o6southafrica.com; Office Contact Number: 011 234 8399; Address: 258 Roan Crescent, Corporate Park North, Midrand, 1685",2025-09-23
AEC001,A&E Connock,,2,Available,"A&E Connock is a UK-based supplier of specialty ingredients to the personal care industry worldwide since 1973. While they supply globally, the specific 'South African chemical supplier' aspect was not prominently highlighted on their main website or product list, beyond a few South African origin ingredients like 'APRICOT STONE GROUND SOUTH AFRICAN' and 'MARULA SEED OIL SOUTH AFRICAN'. Their product list is extensive, covering exfoliants, fluid extracts, vegetable oils, essential oils, and special cosmetic additives. Pricing information is not publicly available on their website. Technical support is implied through their sales department for samples and information. Strategic importance for the South African skincare supply chain would stem from their offering of South African origin ingredients and their global supply network, which could potentially serve South African manufacturers.",No,Medium,https://connock.co.uk/,232.0,,"Roman Chamomile Oil English, Olive Squalane, Niacinamide, Silicone Alternatives (GEL (LV-1), GEL (MV-1), HV-1, HV-2, LV-1, LV-2, MV-1)",Not specified in the document.,Available via sales department for information and samples.,"Not explicitly stated on the website, but some search results mention HACCP, FDA, and Kosher certifications for some products. Further investigation would be needed for a comprehensive list.",Low,"Phone: +44 (0)1425 653367, Email: sales@connock.com",2025-09-23
AKU001,AECI,,3,Available,"AECI Specialty Chemicals is a leading South African manufacturer and distributor of application-specific performance chemicals, including a range of personal care ingredients. Their website lists product categories like Actives, Chelating Agents, Emollients and Humectants, Preservatives, and Surfactants. Detailed product information, including Safety Data Sheets (SDSs) and Certificates of Analysis (COAs), is available by scanning QR codes on product labels, indicating a digital approach to technical documentation. Pricing information is not publicly available and would require direct contact. They emphasize a commitment to green chemistry, sustainability, and customer-centricity, with a personal care applications lab for product development and testing. They are winners of the 2022 Responsible Care Initiative of the Year award (CAIA) and signatories of the responsible care pledge. The exact number of skincare ingredients is not quantifiable from the public website without access to their full product database via the QR code system.",No,High,https://sc.aecichemicals.co.za/,0,,"New products are introduced regularly, with technical information accessible via QR codes on revamped product labels. Specific new skincare ingredients not detailed on public site.",Not explicitly stated on the public website. Requires direct inquiry or access to product labels.,"High (Offers a personal care applications lab for formulation, testing, troubleshooting, stability testing, and raw material retesting. Technical information (SDS, COA) accessible online via QR codes.)","Responsible Care Initiative of the Year award (CAIA) 2022, Signatories of the Responsible Care Pledge. Specific product certifications (SDS, COA) available via QR code on product labels.",Low,"AECI Specialty Chemicals: T +27 11 922 1600, E specialtychemicals@aeciworld.com",2025-09-23
BOT0003,Botanichem,,4,Available,"Botanichem is a South African-based supplier of plant-derived ingredients and raw materials to the cosmetics industry. They act as a full-service agency and have partnerships with several global chemical companies, including BASF Care Creations, Cobiosa, Zuplex, Sunjin, Kupanda, JAKA, and Organic Bioactives. Their online shop, hosted by 'The Personal Care Coach and Training Company', lists approximately 162 skincare ingredients with clear pricing. While direct pricing for BASF products through Botanichem isn't explicitly detailed, the online shop provides transparent pricing for many other ingredients. Technical support appears to be available through 'The Personal Care Coach and Training Company' for formulation and training. Certifications are not explicitly listed on the product pages, but their commitment to sustainable, organic, and safe products suggests adherence to quality standards. Further investigation would be needed to confirm specific certifications for all products and to identify new or discontinued items from their entire catalog.",No,High,https://botanichem.co.za/,162.0,True,"Not explicitly stated, but regular updates to the online shop suggest new products are added.",Not explicitly stated.,Available through 'The Personal Care Coach and Training Company' for formulation and training.,"Not explicitly stated, but focus on plant-derived, organic and safe products implies certain standards. BASF Care Creations products may have their own certifications.",Low,"Email: info@botanichem.co.za, Tel: 011 425 2206",2025-09-23
CAR0002,Carst&Walker div of Zenith Ho,,5,Available,"Carst & Walker is a multinational distributor with a strong presence in South Africa, representing major global manufacturers. Their extensive product portfolio, technical expertise, and established logistics network make them a critical supplier for the South African skincare industry. The introduction of new, innovative ingredients like PhytoCellTec™ Malus Domestica further enhances their strategic value. As a multinational distributor with a wide network of offices and warehousing facilities, Carst & Walker likely has a robust and diversified supply chain, mitigating some risks. However, reliance on exclusive representation of major multinational companies could introduce some dependency risks if those relationships change. The global nature of their sourcing could also expose them to international supply chain disruptions, though their extensive network should help buffer against this. Overall, their established infrastructure and diverse product range suggest a relatively stable supply chain.",No,High,https://carst.com/,30.0,,"PhytoCellTec™ Malus Domestica (plant stem cell cosmetic ingredient for anti-ageing, available in South Africa)",None explicitly mentioned.,"The website states, ""Our team of SOLUTIONATORS is on standby to assist in the procurement of, advice on and solutions to your requirements relating to the... Consumer Specialities... sectors."" This indicates a good level of technical support and expertise.","BSI ISO 9001, Proud to be a Sedex Member, UFAS (Universal Feed Assurance Scheme), FEMAS (Feed Materials Assurance Scheme)",Low to Medium,"The website provides a contact form. No direct email or phone number is listed on the 'Contact Us' page, but the home page mentions a South Africa phone number: +27 114893600 (from search results).",2025-09-23
CHE0004,Chempure (Pty) Ltd,,6,Available,"Chempure (Pty) Ltd is a South African chemical supplier specializing in innovative ingredients for various industries, including personal care. Their website provides a comprehensive list of skincare ingredients categorized by function (Acids, Anti-Pollution, Antioxidant, CBD, Even Skin Tone & Glow, Exfoliators, Hydrocolloids, Lines & Wrinkles Refinement, Luminosity & Brightening, Sebum, Blemish & Oil Control, Skin Aging Prevention & Rejuvenation, Skin Sensitivity & Comfort Recovery, Stress Reduction, Vita Specialties). They emphasize quality and technical support from their principal suppliers. Pricing information is not publicly available on the website. One product, RED ALGA GEL, is noted as 'retired'.",No,High,https://chempure.co.za/,136.0,,"Not explicitly highlighted as 'new' products, but the catalog is extensive and regularly updated based on industry trends.",RED ALGA GEL (Algae extract) is listed as (retired),Excellent application and technical support (as stated on their 'Our Ingredients' page),"Not explicitly stated on the website, but they mention ""rigorously tested for consistent, highest quality"" and represent ""multi-national, world-class principal suppliers.""","Low (Implied by representing 'multi-national, world-class principal suppliers' and providing 'excellent service in the supply chain')","Tel: 012 349-1543/4/5/6, queries@chempure.co.za",2025-09-23
CJP0001,CJP Chemicals (Pty) Ltd,,7,Available,"CJP Chemicals is a leading stockist and supplier of raw materials and ingredients in Southern Africa, serving various industries including Personal Care. They emphasize innovation, excellence, and strong supply chain partnerships. Their commitment to sustainability is evidenced by their RSPO membership. Pricing is available upon request through a quote system. Technical support is implied through their stated 'technical competence' and 'value added services'.",No,"High (due to market leadership, broad product range, and commitment to sustainability)",https://www.cjpchemicals.co.za/,428.0,,Not specified in data,Not specified in data,"Available (implied through 'technical competence' and 'value added services', details upon contact)","BBBEE Level 4, RSPO (Roundtable on Sustainable Palm Oil) member since 2019","Low (due to extensive distribution network, focus on supply chain partnerships, and RSPO membership for sustainable sourcing)","Telephone: +27 11 494 6700, Fax: +27 11 494 6701, Email: info@cjpchemicals.co.za, Physical Address: 60 Electron Avenue, Isando, 1600, Johannesburg, South Africa, Postal Address: P. O. Box 1353, Cresta 2118, Johannesburg, South Africa",2025-09-23
CLI0001,Clive Teubes CC / Scatters Oils,,8,Available,"Clive Teubes CC / Scatters Oils is a South African supplier of essential oils and natural extracts. They offer a wide range of products, including over 50 varieties of essential oils and several isolates. The company emphasizes quality, social upliftment through community projects, and global export. They provide technical support for rural production facilities. Pricing information is not publicly available on the website; a product brochure needs to be requested via email. The company holds ISO 22000, Halaal, Kosher, and HACCP certifications. Their products are relevant for skincare due to the nature of essential oils and natural extracts.",No,High,https://www.teubes.com/,64.0,,"None explicitly identified, but continuous research and development is mentioned.",None identified,Technical support provided for rural production facilities and general product inquiries can be directed to their contact email.,"ISO 22000, Halaal Certification, Kosher Certification, HACCP Certification",Low,"Physical Address: 75 Wakis Avenue, Strydom Park, Randburg, South Africa; Postal Address: PO Box 4919, Randburg 2125, South Africa; Telephone: +27 11 792 4451, +27 11 792 4452; Fax: +27 11 792 1110; Email: deliwe@teubes.com",2025-09-23
COS0007,Cosmetic Ingredients (Pty) Ltd,,9,Available,"Cosmetic Ingredients (Pty) Ltd is a business-to-business supplier of specialty and claims ingredients to the southern African cosmetic and personal care manufacturers. They distribute ingredients from various international manufacturers. Their product range includes ingredients for skin, hair and scalp, colour cosmetics and sunscreens. They emphasize technical and commercial support from their supply partners. They do not supply product lists or quotes without specific ingredient tradenames. Their key suppliers include Kobo Products (powder and dispersion specialist, suncare, color dispersions, natural ingredients), Seiwa Kasei (plant and vegetable protein derivatives, glycerol ascorbic acid derivatives, encapsulated organic sunscreens), AQIA Quimica Inovativa (hair and skin care actives, natural and vegan-friendly ingredients), Contipro (hyaluronic acid, anti-ageing actives like peptides), Aldivia (natural oils, butters, waxes, anti-ageing actives), Assessa (green and high-efficiency bioactive ingredients, natural and marine-derived ingredients), Ethox Chemicals (moisturisers, surfactants, emollients), Stephenson Personal Care (soap-based products, emulsifiers, solubilisers), Ellamera (polymers for texture, viscosity, water-repellency), Oat Cosmetics (oat-based ingredients), and Selco-GfN (active ingredients and plant extracts). The website is well-structured and provides links to their suppliers' websites for detailed product information. Contipro and Aldivia websites had some navigation issues or were under maintenance during the research.",No,High,https://cosmetic-ingredients.co.za/,50.0,,"Kobo Products lists ""CCC65GZSG - Natural-Origin Zinc Oxide Dispersion"" and ""Rejuvenating 800 Da HA – Low molecular weight (800 Da) sodium hyaluronate"" as new products. Assessa has ""FLOWER POWER HIBISCUS"" and ""HYPSKIN"" as new products.",Not explicitly mentioned on the website or supplier websites.,"Cosmetic Ingredients (Pty) Ltd offers technical and commercial support, and uses their applications laboratory to create guideline formulations and assist with product development. Their international principals also provide technical and commercial support. Contipro also emphasizes top-level technical support.","Many ingredients are COSMOS / Eco-Certified or vegan. Kobo Products has some COSMOS approved raw materials. Assessa has natural and marine-derived ingredients, many with Eco-certification.",Low,"Physical Address: Hennopspark, Centurion; Work Hours: Monday to Friday: 8:30 - 16:30; Email Address: info@cosmetic-ingredients.co.za; Phone Number: +27 12 653 3376",2025-09-23
CRO0001,Croda Chemicals S.A (Pty) Ltd,,10,Available,"Croda Beauty offers a wide range of skincare ingredients (630 products identified). The company emphasizes its commitment to continuous improvement and adherence to various global and local standards and certifications, including ISO, GMP, USDA Biopreferred, Vegan-suitable, Halal, COSMOS, and RSPO Mass Balance. This indicates a strong focus on quality, sustainability, and ethical sourcing, which are positive indicators for strategic importance. Technical support is extensive, but pricing and specific discontinued product information are not publicly available on the website.",No,High,https://www.crodabeauty.com/en-gb,630.0,,"Zenakine™, Moist 24™ (examples from search results)",No explicit list found; likely available through direct inquiry or product-specific data sheets.,"Extensive technical support through a 'Contact Us' form, 'Live Chat', and a 'Technical Library' with downloadable product guides, technical data sheets, and presentations.","ISO 9001, ISO 14001, EFfCI GMP, USDA Biopreferred Program, Vegan-suitable, Halal, COSMOS, RSPO Mass Balance.",Medium,"Contact Us form, Live Chat, Technical Library",2025-09-23
